Time,Precipitation
0000 21 Apr 2006,1.025988
0000 22 Apr 2006,0.1394758
0000 23 Apr 2006,0.0
0000 24 Apr 2006,0.6309723
0000 25 Apr 2006,0.75818
0000 26 Apr 2006,0.2859207
0000 27 Apr 2006,1.184807
0000 28 Apr 2006,0.2582366
0000 29 Apr 2006,4.798473
0000 30 Apr 2006,4.623906
0000 1 May 2006,25.7302
0000 2 May 2006,0.5891663
0000 3 May 2006,4.392596
0000 4 May 2006,0.731185
0000 5 May 2006,0.2798885
0000 6 May 2006,1.937611
0000 7 May 2006,0.5238062
0000 8 May 2006,16.2813
0000 9 May 2006,3.465937
0000 10 May 2006,3.681028
0000 11 May 2006,0.1292394
0000 12 May 2006,28.96569
0000 13 May 2006,0.005340724
0000 14 May 2006,2.01779
0000 15 May 2006,0.02295734
0000 16 May 2006,0.02273864
0000 17 May 2006,0.07378829
0000 18 May 2006,0.5972812
0000 19 May 2006,0.3943354
0000 20 May 2006,0.9453386
0000 21 May 2006,0.5292198
0000 22 May 2006,1.831759
0000 23 May 2006,5.293211
0000 24 May 2006,0.9012603
0000 25 May 2006,0.9340673
0000 26 May 2006,0.02367941
0000 27 May 2006,0.04635979
0000 28 May 2006,0.3357016
0000 29 May 2006,0.1148482
0000 30 May 2006,1.021357
0000 31 May 2006,0.6339751
0000 1 Jun 2006,5.898548
0000 2 Jun 2006,6.224631
0000 3 Jun 2006,4.788329
0000 4 Jun 2006,0.06170264
0000 5 Jun 2006,0.06417342
0000 6 Jun 2006,1.436942
0000 7 Jun 2006,34.43141
0000 8 Jun 2006,0.0158284
0000 9 Jun 2006,9.837685
0000 10 Jun 2006,12.18909
0000 11 Jun 2006,11.73567
0000 12 Jun 2006,10.33435
0000 13 Jun 2006,0.1387427
0000 14 Jun 2006,0.1063112
0000 15 Jun 2006,2.044698
0000 16 Jun 2006,1.365319
0000 17 Jun 2006,0.1889205
0000 18 Jun 2006,0.0
0000 19 Jun 2006,0.0581172
0000 20 Jun 2006,0.7475092
0000 21 Jun 2006,0.857465
0000 22 Jun 2006,1.87463
0000 23 Jun 2006,3.333274
0000 24 Jun 2006,0.008190922
0000 25 Jun 2006,0.01532538
0000 26 Jun 2006,0.0
0000 27 Jun 2006,0.0
0000 28 Jun 2006,1.127955
0000 29 Jun 2006,1.079552
0000 30 Jun 2006,0.0
0000 1 Jul 2006,0.3320949
0000 2 Jul 2006,1.045883
0000 3 Jul 2006,0.5823348
0000 4 Jul 2006,0.9911274
0000 5 Jul 2006,0.04054275
0000 6 Jul 2006,0.0
0000 7 Jul 2006,0.06437768
0000 8 Jul 2006,0.001413046
0000 9 Jul 2006,0.2027296
0000 10 Jul 2006,0.2449933
0000 11 Jul 2006,0.4466727
0000 12 Jul 2006,0.6428345
0000 13 Jul 2006,0.3935199
0000 14 Jul 2006,3.578456
0000 15 Jul 2006,3.51447
0000 16 Jul 2006,1.155826
0000 17 Jul 2006,0.01184742
0000 18 Jul 2006,0.01457005
0000 19 Jul 2006,3.6283492E-04
0000 20 Jul 2006,0.4281937
0000 21 Jul 2006,0.1548374
0000 22 Jul 2006,0.05922928
0000 23 Jul 2006,0.07192311
0000 24 Jul 2006,0.1950708
0000 25 Jul 2006,6.581277
0000 26 Jul 2006,6.587007
0000 27 Jul 2006,0.01800337
0000 28 Jul 2006,0.06486345
0000 29 Jul 2006,0.01297853
0000 30 Jul 2006,0.5767866
0000 31 Jul 2006,0.01568616
0000 1 Aug 2006,0.1690248
0000 2 Aug 2006,0.09744848
0000 3 Aug 2006,1.153176
0000 4 Aug 2006,0.03253115
0000 5 Aug 2006,0.0
0000 6 Aug 2006,0.01469175
0000 7 Aug 2006,0.04422244
0000 8 Aug 2006,0.02223619
0000 9 Aug 2006,0.01994255
0000 10 Aug 2006,0.06895133
0000 11 Aug 2006,1.067264
0000 12 Aug 2006,0.2062497
0000 13 Aug 2006,0.001211654
0000 14 Aug 2006,0.006044305
0000 15 Aug 2006,0.1276409
0000 16 Aug 2006,0.02974823
0000 17 Aug 2006,4.143032
0000 18 Aug 2006,0.1285699
0000 19 Aug 2006,0.3533997
0000 20 Aug 2006,4.527132
0000 21 Aug 2006,1.527226
0000 22 Aug 2006,0.3626491
0000 23 Aug 2006,0.5317982
0000 24 Aug 2006,0.5908207
0000 25 Aug 2006,0.003503167
0000 26 Aug 2006,0.03257411
0000 27 Aug 2006,0.02723202
0000 28 Aug 2006,0.2147833
0000 29 Aug 2006,0.2361721
0000 30 Aug 2006,0.03792861
0000 31 Aug 2006,1.975718
0000 1 Sep 2006,1.837695
0000 2 Sep 2006,0.0
0000 3 Sep 2006,0.0
0000 4 Sep 2006,0.06305454
0000 5 Sep 2006,0.5560602
0000 6 Sep 2006,11.38714
0000 7 Sep 2006,1.064872
0000 8 Sep 2006,0.03581255
0000 9 Sep 2006,0.03378487
0000 10 Sep 2006,0.1925941
0000 11 Sep 2006,0.02710794
0000 12 Sep 2006,0.06216856
0000 13 Sep 2006,0.1270735
0000 14 Sep 2006,8.04436
0000 15 Sep 2006,0.01455618
0000 16 Sep 2006,0.05072593
0000 17 Sep 2006,0.4802602
0000 18 Sep 2006,0.3109989
0000 19 Sep 2006,0.5200354
0000 20 Sep 2006,0.001548018
0000 21 Sep 2006,0.01836212
0000 22 Sep 2006,0.6240034
0000 23 Sep 2006,0.889934
0000 24 Sep 2006,0.8148776
0000 25 Sep 2006,3.202959
0000 26 Sep 2006,0.7632028
0000 27 Sep 2006,0.2358974
0000 28 Sep 2006,0.0
0000 29 Sep 2006,0.08404653
0000 30 Sep 2006,1.632549
0000 1 Oct 2006,0.02541251
0000 2 Oct 2006,0.0
0000 3 Oct 2006,9.24928
0000 4 Oct 2006,0.5145245
0000 5 Oct 2006,0.2010782
0000 6 Oct 2006,0.04155102
0000 7 Oct 2006,0.08237153
0000 8 Oct 2006,0.07648087
0000 9 Oct 2006,0.05062865
0000 10 Oct 2006,0.05037656
0000 11 Oct 2006,7.642447
0000 12 Oct 2006,4.97213
0000 13 Oct 2006,0.01146223
0000 14 Oct 2006,1.060003
0000 15 Oct 2006,15.78813
0000 16 Oct 2006,2.710408
0000 17 Oct 2006,7.523777
0000 18 Oct 2006,0.5524993
0000 19 Oct 2006,0.0
0000 20 Oct 2006,0.1134382
0000 21 Oct 2006,2.210955
0000 22 Oct 2006,9.375355
0000 23 Oct 2006,18.51008
0000 24 Oct 2006,2.960877
0000 25 Oct 2006,0.0
0000 26 Oct 2006,2.696708
0000 27 Oct 2006,5.65848
0000 28 Oct 2006,0.07087223
0000 29 Oct 2006,1.550297
0000 30 Oct 2006,0.0
0000 31 Oct 2006,4.617453
0000 1 Nov 2006,9.279681
0000 2 Nov 2006,0.05218378
0000 3 Nov 2006,0.05593375
0000 4 Nov 2006,4.744688
0000 5 Nov 2006,2.109522
0000 6 Nov 2006,15.52046
0000 7 Nov 2006,0.003828101
0000 8 Nov 2006,16.58105
0000 9 Nov 2006,7.187007
0000 10 Nov 2006,4.9467932E-04
0000 11 Nov 2006,1.923646
0000 12 Nov 2006,0.2526565
0000 13 Nov 2006,0.3091725
0000 14 Nov 2006,0.0
0000 15 Nov 2006,23.09819
0000 16 Nov 2006,16.40615
0000 17 Nov 2006,5.618994
0000 18 Nov 2006,1.630312
0000 19 Nov 2006,0.5471135
0000 20 Nov 2006,0.006201383
0000 21 Nov 2006,0.08920319
0000 22 Nov 2006,6.214681
0000 23 Nov 2006,1.542251
0000 24 Nov 2006,0.04182994
0000 25 Nov 2006,2.321237
0000 26 Nov 2006,0.6922109
0000 27 Nov 2006,0.2467835
0000 28 Nov 2006,0.2785172
0000 29 Nov 2006,4.028131
0000 30 Nov 2006,0.02801833
0000 1 Dec 2006,0.1698276
0000 2 Dec 2006,5.433367
0000 3 Dec 2006,0.01478811
0000 4 Dec 2006,12.74185
0000 5 Dec 2006,9.26319
0000 6 Dec 2006,0.7151799
0000 7 Dec 2006,1.095404
0000 8 Dec 2006,3.497315
0000 9 Dec 2006,0.3998698
0000 10 Dec 2006,6.735273
0000 11 Dec 2006,1.719412
0000 12 Dec 2006,0.9531674
0000 13 Dec 2006,7.580548
0000 14 Dec 2006,5.452913
0000 15 Dec 2006,0.1401303
0000 16 Dec 2006,15.27782
0000 17 Dec 2006,0.003798356
0000 18 Dec 2006,0.07640897
0000 19 Dec 2006,0.07233657
0000 20 Dec 2006,1.175458
0000 21 Dec 2006,12.50355
0000 22 Dec 2006,0.2831227
0000 23 Dec 2006,8.119929
0000 24 Dec 2006,0.5549617
0000 25 Dec 2006,6.496481
0000 26 Dec 2006,0.004245451
0000 27 Dec 2006,0.005007017
0000 28 Dec 2006,8.705214
0000 29 Dec 2006,6.321565
0000 30 Dec 2006,0.005335863
0000 31 Dec 2006,0.0
0000 1 Jan 2007,0.0
0000 2 Jan 2007,0.0
0000 3 Jan 2007,0.0
0000 4 Jan 2007,0.0
0000 5 Jan 2007,0.0
0000 6 Jan 2007,0.0
0000 7 Jan 2007,0.0
0000 8 Jan 2007,0.0
0000 9 Jan 2007,6.875111
0000 10 Jan 2007,0.0
0000 11 Jan 2007,0.0
0000 12 Jan 2007,0.0
0000 13 Jan 2007,0.421811
0000 14 Jan 2007,0.1456579
0000 15 Jan 2007,0.0
0000 16 Jan 2007,0.0
0000 17 Jan 2007,0.0
0000 18 Jan 2007,8.883243
0000 19 Jan 2007,0.0
0000 20 Jan 2007,3.265042
0000 21 Jan 2007,3.248412
0000 22 Jan 2007,0.1248222
0000 23 Jan 2007,0.0
0000 24 Jan 2007,0.0
0000 25 Jan 2007,0.0
0000 26 Jan 2007,24.03521
0000 27 Jan 2007,0.2637122
0000 28 Jan 2007,0.06623492
0000 29 Jan 2007,0.0
0000 30 Jan 2007,0.0
0000 31 Jan 2007,1.252578
0000 1 Feb 2007,0.0
0000 2 Feb 2007,0.4600807
0000 3 Feb 2007,2.125105
0000 4 Feb 2007,0.0
0000 5 Feb 2007,0.0
0000 6 Feb 2007,0.0
0000 7 Feb 2007,0.0
0000 8 Feb 2007,0.0
0000 9 Feb 2007,0.1085092
0000 10 Feb 2007,0.0
0000 11 Feb 2007,0.0
0000 12 Feb 2007,0.0
0000 13 Feb 2007,0.0
0000 14 Feb 2007,0.0
0000 15 Feb 2007,1.457968
0000 16 Feb 2007,8.960752
0000 17 Feb 2007,0.8230034
0000 18 Feb 2007,4.918423
0000 19 Feb 2007,0.08705395
0000 20 Feb 2007,0.0
0000 21 Feb 2007,0.07640439
0000 22 Feb 2007,0.0
0000 23 Feb 2007,0.0
0000 24 Feb 2007,0.0
0000 25 Feb 2007,0.1137046
0000 26 Feb 2007,
0000 27 Feb 2007,0.1067258
0000 28 Feb 2007,0.10819
0000 1 Mar 2007,0.0
0000 2 Mar 2007,0.0
0000 3 Mar 2007,0.0
0000 4 Mar 2007,0.7183639
0000 5 Mar 2007,1.010898
0000 6 Mar 2007,0.002743075
0000 7 Mar 2007,0.2883553
0000 8 Mar 2007,0.05166459
0000 9 Mar 2007,0.0
0000 10 Mar 2007,0.4705547
0000 11 Mar 2007,0.1120924
0000 12 Mar 2007,0.911258
0000 13 Mar 2007,0.0
0000 14 Mar 2007,1.459954
0000 15 Mar 2007,6.382328
0000 16 Mar 2007,3.094226
0000 17 Mar 2007,0.1497792
0000 18 Mar 2007,2.397711
0000 19 Mar 2007,2.486639
0000 20 Mar 2007,0.638393
0000 21 Mar 2007,0.0
0000 22 Mar 2007,0.0
0000 23 Mar 2007,9.3774
0000 24 Mar 2007,13.27403
0000 25 Mar 2007,2.407293
0000 26 Mar 2007,6.248224
0000 27 Mar 2007,6.182159
0000 28 Mar 2007,6.936956
0000 29 Mar 2007,9.569141
0000 30 Mar 2007,3.033623
0000 31 Mar 2007,0.1204828
0000 1 Apr 2007,0.0
0000 2 Apr 2007,5.114376
0000 3 Apr 2007,13.01718
0000 4 Apr 2007,14.84382
0000 5 Apr 2007,0.9083477
0000 6 Apr 2007,12.1442
0000 7 Apr 2007,3.279359
0000 8 Apr 2007,0.8903087
0000 9 Apr 2007,1.628577
0000 10 Apr 2007,0.002745508
0000 11 Apr 2007,0.0
0000 12 Apr 2007,2.432968
0000 13 Apr 2007,2.192559
0000 14 Apr 2007,0.8338199
0000 15 Apr 2007,3.223179
0000 16 Apr 2007,0.3037858
0000 17 Apr 2007,1.414185
0000 18 Apr 2007,0.0
0000 19 Apr 2007,2.327804
0000 20 Apr 2007,2.108736
0000 21 Apr 2007,14.16545
0000 22 Apr 2007,5.019099
0000 23 Apr 2007,0.01319997
0000 24 Apr 2007,0.0
0000 25 Apr 2007,0.05681199
0000 26 Apr 2007,15.38459
0000 27 Apr 2007,0.2787525
0000 28 Apr 2007,0.4463442
0000 29 Apr 2007,3.498206
0000 30 Apr 2007,3.042044
0000 1 May 2007,2.685789
0000 2 May 2007,3.435461
0000 3 May 2007,1.375261
0000 4 May 2007,1.988855
0000 5 May 2007,0.02998391
0000 6 May 2007,0.3028492
0000 7 May 2007,0.2375527
0000 8 May 2007,2.005122
0000 9 May 2007,4.848395
0000 10 May 2007,10.45027
0000 11 May 2007,0.3724688
0000 12 May 2007,0.0
0000 13 May 2007,0.7786498
0000 14 May 2007,0.0
0000 15 May 2007,0.0
0000 16 May 2007,0.0
0000 17 May 2007,0.0
0000 18 May 2007,12.6636
0000 19 May 2007,3.323053
0000 20 May 2007,0.0
0000 21 May 2007,7.023202
0000 22 May 2007,2.787135
0000 23 May 2007,0.9131179
0000 24 May 2007,0.03544256
0000 25 May 2007,0.0
0000 26 May 2007,0.5583113
0000 27 May 2007,0.002474084
0000 28 May 2007,3.515792
0000 29 May 2007,0.4516263
0000 30 May 2007,2.839262
0000 31 May 2007,4.041233
0000 1 Jun 2007,1.891202
0000 2 Jun 2007,0.5144171
0000 3 Jun 2007,3.264442
0000 4 Jun 2007,0.3543638
0000 5 Jun 2007,0.6710952
0000 6 Jun 2007,5.514793
0000 7 Jun 2007,0.373862
0000 8 Jun 2007,0.0
0000 9 Jun 2007,3.010926
0000 10 Jun 2007,0.2372895
0000 11 Jun 2007,0.0
0000 12 Jun 2007,0.0410849
0000 13 Jun 2007,0.6099346
0000 14 Jun 2007,1.64688
0000 15 Jun 2007,0.7713822
0000 16 Jun 2007,0.002837601
0000 17 Jun 2007,0.22752
0000 18 Jun 2007,0.0
0000 19 Jun 2007,0.1924785
0000 20 Jun 2007,0.0
0000 21 Jun 2007,0.6479611
0000 22 Jun 2007,0.002640599
0000 23 Jun 2007,1.122546
0000 24 Jun 2007,0.4661137
0000 25 Jun 2007,0.0
0000 26 Jun 2007,1.506028
0000 27 Jun 2007,0.5709547
0000 28 Jun 2007,0.0
0000 29 Jun 2007,0.0
0000 30 Jun 2007,0.02317109
0000 1 Jul 2007,0.0
0000 2 Jul 2007,0.0
0000 3 Jul 2007,0.0
0000 4 Jul 2007,0.0
0000 5 Jul 2007,0.0
0000 6 Jul 2007,0.0
0000 7 Jul 2007,0.0
0000 8 Jul 2007,0.0
0000 9 Jul 2007,0.5123069
0000 10 Jul 2007,0.0
0000 11 Jul 2007,0.7548102
0000 12 Jul 2007,0.3978394
0000 13 Jul 2007,0.01211225
0000 14 Jul 2007,0.007288176
0000 15 Jul 2007,1.785532
0000 16 Jul 2007,1.5416
0000 17 Jul 2007,2.023512
0000 18 Jul 2007,0.0
0000 19 Jul 2007,0.0
0000 20 Jul 2007,3.042261
0000 21 Jul 2007,0.0
0000 22 Jul 2007,8.0121064E-04
0000 23 Jul 2007,10.03931
0000 24 Jul 2007,0.5741281
0000 25 Jul 2007,0.3425155
0000 26 Jul 2007,0.1097304
0000 27 Jul 2007,5.53302
0000 28 Jul 2007,0.4636495
0000 29 Jul 2007,0.0
0000 30 Jul 2007,0.0
0000 31 Jul 2007,0.0
0000 1 Aug 2007,0.0
0000 2 Aug 2007,0.0
0000 3 Aug 2007,0.08422831
0000 4 Aug 2007,0.0
0000 5 Aug 2007,0.3121847
0000 6 Aug 2007,0.1252181
0000 7 Aug 2007,0.0
0000 8 Aug 2007,0.2308673
0000 9 Aug 2007,0.4208442
0000 10 Aug 2007,0.0
0000 11 Aug 2007,0.0
0000 12 Aug 2007,0.1442714
0000 13 Aug 2007,0.4102852
0000 14 Aug 2007,0.4130283
0000 15 Aug 2007,0.1020239
0000 16 Aug 2007,0.1965547
0000 17 Aug 2007,4.244698
0000 18 Aug 2007,0.2378951
0000 19 Aug 2007,0.3102889
0000 20 Aug 2007,0.09341483
0000 21 Aug 2007,4.272508
0000 22 Aug 2007,5.599137
0000 23 Aug 2007,0.0
0000 24 Aug 2007,0.1462827
0000 25 Aug 2007,0.0
0000 26 Aug 2007,0.7853948
0000 27 Aug 2007,1.418285
0000 28 Aug 2007,0.7550011
0000 29 Aug 2007,0.288883
0000 30 Aug 2007,2.315702
0000 31 Aug 2007,0.2555246
0000 1 Sep 2007,0.006006953
0000 2 Sep 2007,0.0
0000 3 Sep 2007,0.2707945
0000 4 Sep 2007,0.02096343
0000 5 Sep 2007,2.157059
0000 6 Sep 2007,0.1686141
0000 7 Sep 2007,0.2882419
0000 8 Sep 2007,0.47006
0000 9 Sep 2007,16.82538
0000 10 Sep 2007,4.463346
0000 11 Sep 2007,0.4919426
0000 12 Sep 2007,0.02462127
0000 13 Sep 2007,0.0
0000 14 Sep 2007,1.005113
0000 15 Sep 2007,0.0453054
0000 16 Sep 2007,0.2853342
0000 17 Sep 2007,1.023409
0000 18 Sep 2007,0.0
0000 19 Sep 2007,0.03795695
0000 20 Sep 2007,0.8835211
0000 21 Sep 2007,0.0
0000 22 Sep 2007,0.0
0000 23 Sep 2007,0.0
0000 24 Sep 2007,0.001805314
0000 25 Sep 2007,0.0274351
0000 26 Sep 2007,0.1361943
0000 27 Sep 2007,0.0
0000 28 Sep 2007,0.5472115
0000 29 Sep 2007,0.0
0000 30 Sep 2007,0.049584
0000 1 Oct 2007,1.867071
0000 2 Oct 2007,0.007672795
0000 3 Oct 2007,0.0
0000 4 Oct 2007,0.6459074
0000 5 Oct 2007,0.0
0000 6 Oct 2007,3.838583
0000 7 Oct 2007,1.966007
0000 8 Oct 2007,0.898797
0000 9 Oct 2007,3.516624
0000 10 Oct 2007,5.452253
0000 11 Oct 2007,0.0
0000 12 Oct 2007,44.74759
0000 13 Oct 2007,1.897216
0000 14 Oct 2007,5.38903
0000 15 Oct 2007,0.8579766
0000 16 Oct 2007,21.42422
0000 17 Oct 2007,0.5180694
0000 18 Oct 2007,2.385807
0000 19 Oct 2007,2.765988
0000 20 Oct 2007,1.45615
0000 21 Oct 2007,5.638404
0000 22 Oct 2007,5.218817
0000 23 Oct 2007,2.862436
0000 24 Oct 2007,0.0
0000 25 Oct 2007,0.5541741
0000 26 Oct 2007,0.01584193
0000 27 Oct 2007,4.401689
0000 28 Oct 2007,10.82786
0000 29 Oct 2007,0.5981627
0000 30 Oct 2007,7.098623
0000 31 Oct 2007,0.5773267
0000 1 Nov 2007,1.488869
0000 2 Nov 2007,1.750708
0000 3 Nov 2007,11.46443
0000 4 Nov 2007,0.0
0000 5 Nov 2007,0.5165994
0000 6 Nov 2007,0.1068245
0000 7 Nov 2007,1.207959
0000 8 Nov 2007,0.1490526
0000 9 Nov 2007,7.0221600E-04
0000 10 Nov 2007,3.076302
0000 11 Nov 2007,2.612634
0000 12 Nov 2007,2.433688
0000 13 Nov 2007,1.615174
0000 14 Nov 2007,6.719378
0000 15 Nov 2007,0.08058931
0000 16 Nov 2007,1.702439
0000 17 Nov 2007,0.004019002
0000 18 Nov 2007,0.275165
0000 19 Nov 2007,1.299805
0000 20 Nov 2007,0.03322162
0000 21 Nov 2007,0.0
0000 22 Nov 2007,0.2420172
0000 23 Nov 2007,4.552803
0000 24 Nov 2007,0.05616996
0000 25 Nov 2007,1.052886
0000 26 Nov 2007,1.219278
0000 27 Nov 2007,0.0
0000 28 Nov 2007,3.517401
0000 29 Nov 2007,0.2335307
0000 30 Nov 2007,4.904355
0000 1 Dec 2007,3.131818
0000 2 Dec 2007,0.8619788
0000 3 Dec 2007,0.9357525
0000 4 Dec 2007,0.2491859
0000 5 Dec 2007,0.0
0000 6 Dec 2007,0.02499187
0000 7 Dec 2007,2.32281
0000 8 Dec 2007,0.0
0000 9 Dec 2007,3.111543
0000 10 Dec 2007,0.4668261
0000 11 Dec 2007,0.4265296
0000 12 Dec 2007,1.99526
0000 13 Dec 2007,9.316919
0000 14 Dec 2007,3.232399
0000 15 Dec 2007,17.00276
0000 16 Dec 2007,2.631758
0000 17 Dec 2007,10.76218
0000 18 Dec 2007,18.62231
0000 19 Dec 2007,6.158741
0000 20 Dec 2007,10.40922
0000 21 Dec 2007,0.6458162
0000 22 Dec 2007,1.146041
0000 23 Dec 2007,1.345742
0000 24 Dec 2007,0.01932917
0000 25 Dec 2007,0.0
0000 26 Dec 2007,3.27948
0000 27 Dec 2007,3.705607
0000 28 Dec 2007,2.510588
0000 29 Dec 2007,0.9016173
0000 30 Dec 2007,4.0196429E-04
0000 31 Dec 2007,0.870895
0000 1 Jan 2008,0.0
0000 2 Jan 2008,0.1991793
0000 3 Jan 2008,0.1844846
0000 4 Jan 2008,0.0
0000 5 Jan 2008,2.186381
0000 6 Jan 2008,4.391174
0000 7 Jan 2008,0.3033553
0000 8 Jan 2008,0.6472775
0000 9 Jan 2008,0.09612036
0000 10 Jan 2008,3.811002
0000 11 Jan 2008,2.650432
0000 12 Jan 2008,1.186704
0000 13 Jan 2008,0.0
0000 14 Jan 2008,0.964967
0000 15 Jan 2008,1.531563
0000 16 Jan 2008,18.44637
0000 17 Jan 2008,4.798569
0000 18 Jan 2008,0.8327602
0000 19 Jan 2008,0.003396787
0000 20 Jan 2008,0.0
0000 21 Jan 2008,0.3495181
0000 22 Jan 2008,0.0
0000 23 Jan 2008,0.0
0000 24 Jan 2008,0.031637
0000 25 Jan 2008,4.785271
0000 26 Jan 2008,26.03379
0000 27 Jan 2008,0.1577234
0000 28 Jan 2008,1.243526
0000 29 Jan 2008,8.626368
0000 30 Jan 2008,4.691658
0000 31 Jan 2008,5.528026
0000 1 Feb 2008,0.1304655
0000 2 Feb 2008,0.06713378
0000 3 Feb 2008,0.0
0000 4 Feb 2008,3.044054
0000 5 Feb 2008,0.0
0000 6 Feb 2008,0.0
0000 7 Feb 2008,0.1483804
0000 8 Feb 2008,3.139022
0000 9 Feb 2008,2.026499
0000 10 Feb 2008,5.980774
0000 11 Feb 2008,2.063709
0000 12 Feb 2008,3.258223
0000 13 Feb 2008,9.091523
0000 14 Feb 2008,1.037741
0000 15 Feb 2008,2.784315
0000 16 Feb 2008,0.1424748
0000 17 Feb 2008,10.61437
0000 18 Feb 2008,16.03193
0000 19 Feb 2008,12.07918
0000 20 Feb 2008,18.45258
0000 21 Feb 2008,4.500387
0000 22 Feb 2008,11.77671
0000 23 Feb 2008,11.27837
0000 24 Feb 2008,6.045857
0000 25 Feb 2008,4.829539
0000 26 Feb 2008,0.513227
0000 27 Feb 2008,10.25919
0000 28 Feb 2008,0.3109873
0000 29 Feb 2008,0.9483286
0000 1 Mar 2008,0.003378129
0000 2 Mar 2008,0.0
0000 3 Mar 2008,31.79287
0000 4 Mar 2008,0.0
0000 5 Mar 2008,26.2641
0000 6 Mar 2008,0.8512119
0000 7 Mar 2008,2.394478
0000 8 Mar 2008,4.70495
0000 9 Mar 2008,8.553031
0000 10 Mar 2008,2.733335
0000 11 Mar 2008,12.91021
0000 12 Mar 2008,3.682022
0000 13 Mar 2008,4.542567
0000 14 Mar 2008,10.41506
0000 15 Mar 2008,0.1519801
0000 16 Mar 2008,2.41759
0000 17 Mar 2008,1.156722
0000 18 Mar 2008,1.74912
0000 19 Mar 2008,0.2913737
0000 20 Mar 2008,0.6989979
0000 21 Mar 2008,3.435306
0000 22 Mar 2008,11.75136
0000 23 Mar 2008,0.1491152
0000 24 Mar 2008,0.418619
0000 25 Mar 2008,0.2943663
0000 26 Mar 2008,4.292622
0000 27 Mar 2008,0.002589817
